Sl No,Roll Number,Category,PH,Marks
1,4874212616787,SC,-,94
2,4874212616915,SC,-,94
3,4877212617410,SC,-,94
4,4877212617459,SC,-,94
5,4879212617889,SC,-,94
6,5884212618827,SC,-,94
7,5885212619040,SC,-,94
8,5886212619452,SC,-,94
9,3807212602108,SC,-,93
10,3842212610657,SC,-,93
11,3850212612571,SC,-,93
12,4870212616522,SC,-,93
13,4874212616653,SC,-,93
14,4874212616957,SC,-,93
15,4877212617406,SC,-,93
16,5880212618144,SC,-,93
17,3803212600441,SC,-,92
18,3815212604282,SC,-,92
19,3819212604950,SC,-,92
20,4878212617648,SC,-,92
21,3868212615833,SC,-,91
22,3868212615856,SC,-,91
23,4870212616439,SC,-,91
24,4870212616557,SC,-,91
25,4874212616917,SC,-,91
26,4878212617642,SC,-,91
27,4879212618016,SC,-,91
28,5884212618816,SC,-,91
29,5888212619892,SC,-,91
30,3815212604063,SC,-,90
31,3834212608573,SC,-,90
32,3838212609643,SC,-,90
33,3845212611581,SC,-,90
34,3846212611897,SC,-,90
35,4874212616878,SC,-,90
36,5880212618264,SC,-,90
37,3807212601773,SC,-,89
38,3814212603643,SC,-,89
39,3819212605163,SC,-,89
40,3835212609303,SC,-,89
41,3839212610541,SC,-,89
42,3842212611024,SC,-,89
43,3850212612455,SC,-,89
44,3851212612951,SC,-,89
45,3866212615141,SC,-,89
46,4869212616247,SC,-,89
47,4870212616612,SC,-,89
48,4877212617307,SC,-,89
49,4879212617955,SC,-,89
50,5880212618169,SC,-,89
51,3807212601474,SC,-,88
52,3820212605188,SC,-,88
53,3826212607092,SC,-,88
54,3847212612275,SC,-,88
55,3850212612863,SC,-,88
56,3863212614523,SC,-,88
57,3864212614756,SC,-,88
58,4868212616088,SC,-,88
59,4870212616548,SC,-,88
60,4870212616517,SC,-,88
61,4870212616626,SC,-,88
62,4874212616882,SC,-,88
63,4874212616926,SC,-,88
64,3810212602956,SC,-,87
65,3815212604058,SC,-,87
66,3819212604927,SC,-,87
67,3824212606345,SC,-,87
68,3834212608898,SC,-,87
69,3835212609236,SC,-,87
70,3839212610359,SC,-,87
71,3844212611363,SC,-,87
72,3851212613010,SC,-,87
73,3860212614084,SC,-,87
74,4878212617600,SC,-,87
75,5881212618441,SC,-,87
76,3807212601254,SC,-,86
77,3807212601917,SC,-,86
78,3809212602494,SC,-,86
79,3809212602535,SC,-,86
80,3816212604530,SC,-,86
81,3821212605529,SC,-,86
82,3824212606353,SC,-,86
83,3825212606469,SC,-,86
84,3825212606539,SC,-,86
85,3845212611755,SC,-,86
86,3850212612447,SC,-,86
87,3856212613525,SC,-,86
88,3860212614019,SC,-,86
89,3860212614046,SC,-,86
90,4868212616102,SC,-,86
91,4874212616654,SC,-,86
92,4874212616867,SC,-,86
93,4877212617385,SC,-,86
94,5880212618168,SC,-,86
95,5884212618849,SC,-,86
96,5885212619244,SC,-,86
97,5886212619509,SC,-,86
98,3803212600494,SC,-,85
99,3807212601621,SC,-,85
100,3812212603155,SC,-,85
101,3818212604909,SC,-,85
102,3824212606339,SC,-,85
103,3826212606836,SC,-,85
104,3844212611159,SC,-,85
105,3844212611288,SC,-,85
106,3850212612552,SC,-,85
107,3850212612732,SC,-,85
108,3859212613849,SC,-,85
109,4876212617086,SC,-,85
110,4879212617978,SC,-,85
111,5885212619064,SC,-,85
112,5886212619512,SC,-,85
113,3812212603231,SC,-,84
114,3838212609828,SC,-,84
115,3839212610160,SC,-,84
116,3842212611020,SC,-,84
117,3860212613999,SC,-,84
118,3864212614766,SC,-,84
119,3868212615605,SC,-,84
