Sl No,Roll Number,Category,PH,Marks
1,5882312618706,ST,-,94
2,3825312606675,ST,-,93
3,3807312601415,ST,-,92
4,3825312606781,ST,-,92
5,4869312616290,ST,-,92
6,3819312604922,ST,-,91
7,3824312606204,ST,-,91
8,3826312607051,ST,-,91
9,3856312613601,ST,-,91
10,5882312618657,ST,-,91
11,3806312601131,ST,-,90
12,3825312606634,ST,-,90
13,3833312608217,ST,-,90
14,3807312601243,ST,-,89
15,3813312603370,ST,-,89
16,3833312608418,ST,-,89
17,3835312609086,ST,-,89
18,3850312612325,ST,-,89
19,3856312613537,ST,-,89
20,3860312614039,ST,-,89
21,3807312601266,ST,-,88
22,3826312607094,ST,-,88
23,3839312610362,ST,-,88
24,3842312610995,ST,-,88
25,3850312612643,ST,-,88
26,3860312614093,ST,-,88
27,4879312617974,ST,-,88
28,5881312618455,ST,-,88
29,3803312600424,ST,-,87
30,3819312605175,ST,-,87
31,3820312605420,ST,-,87
32,3856312613462,ST,-,87
33,3860312614112,ST,-,87
34,3814312603648,ST,-,86
35,3850312612463,ST,-,86
36,5887312619543,ST,-,86
37,3816312604559,ST,-,85
38,3820312605283,ST,-,85
39,3822312605832,ST,-,85
40,3826312607016,ST,-,85
41,3839312610349,ST,-,85
42,3850312612565,ST,-,85
43,3859312613834,ST,-,85
44,3863312614482,ST,-,85
45,3867312615249,ST,-,85
46,3868312615678,ST,-,85
47,3806312600843,ST,-,84
48,3806312600877,ST,-,84
49,3812312603315,ST,-,84
50,3813312603403,ST,-,84
51,3819312604921,ST,-,84
52,3833312608537,ST,-,84
53,3839312610344,ST,-,84
54,3850312612848,ST,-,84
55,3864312614772,ST,-,84
56,5885312619129,ST,-,84
57,3825312606535,ST,-,83
58,3834312608840,ST,-,83
59,3839312609977,ST,-,83
60,3847312612130,ST,-,83
61,3850312612324,ST,-,83
62,3860312614061,ST,-,83
63,3804312600514,ST,-,82
64,3804312600758,ST,-,82
65,3809312602604,ST,-,82
66,3814312603829,ST,-,82
67,3821312605707,ST,-,82
68,3832312608076,ST,-,82
69,3835312609398,ST,-,82
70,3844312611233,ST,-,82
71,3856312613578,ST,-,82
72,3859312613814,ST,-,82
73,3863312614650,ST,-,82
74,3806312600870,ST,-,81
75,3807312601237,ST,-,81
76,3809312602549,ST,-,81
77,3820312605410,ST,-,81
78,3821312605599,ST,-,81
79,3833312608346,ST,-,81
80,3837312609537,ST,-,81
81,3839312610044,ST,-,81
82,3839312610063,ST,-,81
83,3844312611073,ST,-,81
84,3844312611314,ST,-,81
85,3844312611397,ST,-,81
86,3845312611748,ST,-,81
87,3801312600093,ST,-,80
88,3807312601505,ST,-,80
89,3809312602490,ST,-,80
90,3810312603063,ST,-,80
91,3821312605480,ST,-,80
92,3821312605606,ST,-,80
93,3833312608137,ST,-,80
94,3834312608680,ST,-,80
95,3837312609474,ST,-,80
96,3844312611196,ST,-,80
97,3846312611921,ST,-,80
98,3846312611923,ST,-,80
99,3859312613860,ST,-,80
100,3860312614306,ST,-,80
101,3863312614520,ST,-,80
102,3868312615784,ST,-,80
103,3868312615896,ST,-,80
104,5881312618395,ST,-,80
105,3807312601439,ST,-,79
106,3810312602910,ST,-,79
107,3818312604710,ST,-,79
108,3826312606940,ST,-,79
109,3829312607509,ST,-,79
110,3832312607979,ST,-,79
111,3832312608083,ST,-,79
112,3833312608384,ST,-,79
113,3839312610061,ST,-,79
114,3844312611124,ST,-,79
115,3846312612002,ST,-,79
116,3847312612301,ST,-,79
117,3850312612782,ST,-,79
118,3860312614246,ST,-,79
119,3863312614457,ST,-,79
120,3868312615613,ST,-,79
121,5884312618959,ST,-,79
122,5886312619457,ST,-,79
123,5887312619678,ST,-,79
124,5887312619768,ST,-,79
125,5888312619882,ST,-,79
126,3803312600410,ST,-,78
127,3804312600828,ST,-,78
128,3807312601609,ST,-,78
129,3808312602208,ST,-,78
130,3808312602363,ST,-,78
131,3809312602454,ST,-,78
132,3810312602723,ST,-,78
133,3814312603844,ST,-,78
134,3818312604853,ST,-,78
135,3818312604829,ST,-,78
136,3823312606003,ST,-,78
137,3835312609275,ST,-,78
138,3839312610546,ST,-,78
139,3846312611862,ST,-,78
140,3850312612899,ST,-,78
141,3863312614441,ST,-,78
142,3863312614641,ST,-,78
143,3864312614925,ST,-,78
144,3868312615820,ST,-,78
145,3807312601363,ST,-,77
146,3807312601376,ST,-,77
147,3807312602106,ST,-,77
148,3807312602128,ST,-,77
149,3810312602870,ST,-,77
150,3813312603575,ST,-,77
151,3814312603805,ST,-,77
152,3814312603898,ST,-,77
153,3816312604545,ST,-,77
154,3819312605021,ST,-,77
155,3820312605205,ST,-,77
156,3823312606000,ST,-,77
157,3828312607404,ST,-,77
158,3829312607730,ST,-,77
159,3832312607852,ST,-,77
160,3833312608089,ST,-,77
161,3847312612129,ST,-,77
162,3850312612510,ST,-,77
163,3850312612566,ST,-,77
164,3851312613064,ST,-,77
165,3856312613562,ST,-,77
166,3856312613603,ST,-,77
167,3860312613940,ST,-,77
168,3860312614228,ST,-,77
169,3866312615148,ST,-,77
170,3866312615158,ST,-,77
171,5881312618350,ST,-,77
172,5884312619007,ST,-,77
173,5887312619662,ST,-,77
174,3801312600059,ST,-,76
175,3803312600216,ST,-,76
176,3806312601051,ST,-,76
177,3807312601281,ST,-,76
178,3807312601903,ST,-,76
179,3812312603196,ST,-,76
180,3813312603493,ST,-,76
181,3813312603587,ST,-,76
182,3815312604111,ST,-,76
183,3818312604895,ST,-,76
184,3819312605167,ST,-,76
185,3829312607749,ST,-,76
186,3835312609112,ST,-,76
187,3838312609861,ST,-,76
