Sl No,Roll Number,Category,PH,Marks
1,5884112618848,UR,-,132
2,5886112619442,UR,-,131
3,5887112619554,UR,-,130
4,5884112618898,UR,-,125
5,5884212618998,SC,-,125
6,5887112619610,UR,-,124
7,4879112617771,UR,-,121
8,5881112618344,UR,-,121
9,5885112619050,UR,-,121
10,5887112619655,UR,-,121
11,5888112619886,UR,-,121
12,3852212613111,SC,-,119
13,5882112618663,UR,-,119
14,5885112619305,UR,-,119
15,5887112619802,UR,-,118
16,5885112619164,UR,-,117
17,5885112619199,UR,-,117
18,5886112619375,UR,-,117
19,5880112618256,UR,-,116
20,5881112618488,UR,-,116
21,5887212619709,SC,-,116
22,4870112616521,UR,-,115
23,4874112616923,UR,-,114
24,4877112617336,UR,-,114
25,4879112617873,UR,-,114
26,4879112617954,UR,-,114
27,4870112616608,UR,-,113
28,4876112617147,UR,-,113
29,4876112617148,UR,-,113
30,5880112618173,UR,-,113
31,5885212619055,SC,-,113
32,5887112619552,UR,-,113
33,5888112619863,UR,-,113
34,5888112619941,UR,-,113
35,4869112616405,UR,-,112
36,4876112617018,UR,-,112
37,4877112617460,UR,-,112
38,5880112618309,UR,-,112
39,5881112618448,UR,-,112
40,5887112619579,UR,-,112
41,3850112612338,UR,-,111
42,4868112616044,UR,-,111
43,4876112617027,UR,-,111
44,4877112617428,UR,-,111
45,4880112618117,UR,-,111
46,5881112618341,UR,-,111
47,5881112618361,UR,-,111
48,5885112619077,UR,-,111
49,3867112615466,UR,-,110
50,4869112616123,UR,-,110
51,4870112616495,UR,-,110
52,4874112616768,UR,-,110
53,5888112619842,UR,-,110
54,4874112616676,UR,-,109
55,4876112617011,UR,-,109
56,4879112617914,UR,-,109
57,5882112618656,UR,-,109
58,5884112618825,UR,-,109
59,5886112619444,UR,-,109
60,5888112619924,UR,-,109
61,5888112619928,UR,-,109
62,4876112617050,UR,-,108
63,4878112617469,UR,-,108
64,5888112619816,UR,-,108
65,3839112610579,UR,-,107
66,4870112616456,UR,-,107
67,4877112617394,UR,-,107
68,4878112617652,UR,-,107
69,4880112618115,UR,-,107
70,5881112618368,UR,-,107
71,5886212619389,SC,-,107
72,3803112600404,UR,-,106
73,3818212604747,SC,-,106
74,3823112606161,UR,-,106
75,3826112607015,UR,-,106
76,4869112616135,UR,-,106
77,4869112616205,UR,-,106
78,4869212616207,SC,-,106
79,4874112616720,UR,-,106
80,4874112616744,UR,-,106
81,4874112616859,UR,-,106
82,4877212617377,SC,-,106
83,5882112618761,UR,-,106
84,5885112619083,UR,-,106
85,3823112605999,UR,-,105
86,3826112606911,UR,-,105
87,3839112610276,UR,-,105
88,4869112616337,UR,-,105
89,4878112617482,UR,-,105
90,4878112617542,UR,-,105
91,4879112617863,UR,-,105
92,4879112618026,UR,-,105
93,4880112618078,UR,-,105
94,4880112618087,UR,-,105
95,4880112618096,UR,-,105
96,5880212618159,SC,-,105
97,5881212618500,SC,-,105
98,5884112618868,UR,-,105
99,5885112619276,UR,-,105
100,5886212619483,SC,-,105
101,5887112619725,UR,-,105
102,3806312601155,ST,-,104
103,3824112606357,UR,-,104
104,3842112611044,UR,-,104
105,3860112614038,UR,-,104
106,3868112615526,UR,-,104
107,4870112616408,UR,-,104
108,4870112616487,UR,-,104
109,4870112616457,UR,-,104
110,4876212617072,SC,-,104
111,4876112617142,UR,-,104
112,4876112617127,UR,-,104
113,4877112617356,UR,-,104
114,4877112617369,UR,-,104
115,4877112617390,UR,-,104
